Type,Question ,Options ,Answer ,Question Hint,Answer Followup
MultipleChoice,Which of the following statements best defines patchwork security?,A security approach that uses a unified framework to address individual threats.|A security approach that addresses individual threats with different solutions.|A security approach that relies on a single solution to address all security threats.|A security approach that ignores individual threats and focuses on a broader strategy.,B,,
MultipleChoice,Which of the following statements best describes Kerckhoff’s principle?,"The system should not require secrecy, and it should not be a problem if it falls into enemy hands.|The system should be kept a secret and only known to trusted individuals.|The system should be designed to be robust and not easily compromised.|The system should rely on complex encryption algorithms to protect its information.",A,,
MultipleChoice,Which security principle suggests tha security mechanisms should not rely on the ignorance of potential attackers?,Economy of mechanism|Fail-safe defaults|Psychological acceptability|Open design,D,,
MultipleChoice,What are the three elements of the security triad?,"Confidentiality, integrity, and availability|Authentication, authorization, and accounting|Encryption, decryption, and hashing|None of the above",A,,
ShortAnswer,What is the difference between Canada’s two federal laws (the Privacy Act and PIPEDA)?,,Privacy Act applies to government and PIPEDA applies to businesses,,
MultipleChoice,What is the definition of secondary use of data?,When data is used for the same purpose it was originally intended for.|When data is used for a purpose other than what it was originally intended for.|When data is no longer needed and is discarded.|When data is accessed without proper authorization.,B,,
MultipleChoice,Which of the following is not a principle of PIPEDA?,Obtain consent|Identify purpose of data collection|Limit collection|Limit knowledge that data was obtained,D,,
MultipleChoice,What is the difficulty with privacy laws?,"Determining what is considered reaonable data to access|Balancing security and privacy|Limiting the use, disclosure, and retention of data|Providing individuals access to their personal information",A,,
ShortAnswer,In what type of authentication is the user only challenged to reprove their identity under suspicious circumstances,,risk-based,,
MultipleChoice,What is a one-time password (OTP)?,A password that is valid for multiple login sessions|A password that is only valid for one login session|A password that is valid for a limited time period|A password that is valid for an unlimited time period,B,,
MultipleChoice,What is the difference between identification and authentication?,"Identification is using supporting evidence to corroborate an asserted identity, while authentication is establishing an identity from available information|Identification and authentication are the same thing|Identification is determining if a request should be granted based on a given identity|Authentication is using supporting evidence to corroborate an assertive identity, while identification is establishing an identity from available information",D,,
ShortAnswer,What is two-factor authentication (2FA)?,,Using two different methods to verify identity before granting access to an account,,
ShortAnswer,It’s a good idea to force users to periodically change their passwords. (True/False),,False ,,
Numerical,What is the recommended minimum number of attempts before lockout according to the 2019 NIST guidelines?,,10,,
MultipleChoice,Which factor determines how good a password is?,The length of the password|The randomness of the password generation process|The complexity of the characters using the password|All of the above,D,,
MultipleChoice,Which type of password attack involves trying every possible combination of characters until the correct password is found?,Brute force attack|Dictionary attack|Social engineering attack|Firewall attack,A,,
