Type,Question ,Options ,Answer ,Question Hint,Answer Followup
ShortAnswer,What is the recommended maximum number of attempts before lockout according to the 2019 NIST guidelines?,,"There is no specific recommended maximum number of attempts, but organizations should consider factors such as the sensitivity of the information being protected and the likelihood of an attack.",,
ShortAnswer,Which type of online guessing barrier involves limiting the number of guesses an attacker can make in a certain amount of time?,,Rate-limiting,This barrier slows down attackers and makes it harder for them to guess passwords.,
ShortAnswer,What is two-factor authentication (2FA)?,,Using two different methods to verify identity before granting access to an account.,This adds an extra layer of security beyond just a password.,
ShortAnswer,Which factor determines how good a password is?,,The randomness of the password generation process.,A truly random password is much harder to guess than one that follows a pattern or uses personal information.,
ShortAnswer,What are some best practices for creating strong passwords?,,"Using a mix of uppercase and lowercase letters, numbers, and symbols in your password; avoiding personal information in your password; using unique passwords for each account you have; and making sure your password generation process is random.",A strong password should be complex and unique.,
ShortAnswer,Which type of online attack involves tricking users into revealing sensitive information?,,Social engineering attack,This type of attack relies on psychological manipulation rather than technical exploits.,
ShortAnswer,What is the purpose of a blocklist in password security?,,To prevent users from using frequently used passwords.,A blocklist can help prevent attackers from guessing common passwords.,
ShortAnswer,What is sandboxing?,,"Giving each program its own file and memory separate from any other program, so that it is free to do things within its own confined space.",,
ShortAnswer,How might sandboxing via virtual machines fail?,,"There are a number of answers, but deliberately lagging the system and timing the system to see if other fellow CPU-laggers are on the system was a method discussed in class.",,
ShortAnswer,Name three operating systems based on UNIX.,,"Many possible answers, but we have MacOS, Ubuntu, and Debian",,
ShortAnswer,Why is sudo usage logged on a UNIX system?,,"Accountability, so that whoever owns the system can keep track of what's being done on the system, to improve security...",,
ShortAnswer,Can you change your MAC address?,,Yes,,
ShortAnswer,What is NMap used for?,,"Scanning a network for open ports, vulnerabilities, active machines, etc...",,
ShortAnswer,What is a VPN good for?,,Obscuring your identity from eavesdroppers by rerouting your communications through a third party server.,,
ShortAnswer,What are some of the problems with VPNs?,,"You need to trust the VPN, Use of one may be suspicious, VPNs can be painfully slow, VPNs can be costly, doesn't help if the website you want to visit is itself dangerous (gives you malicious files), etc.",,
